S No,Village LGD Code,Village Name (In English),Village Name (In Local language),Hierarchy,Census 2001 Code,Census2011 Code,Pesa Status,View Government Order,View Details,View History,View Map
1,526541,Achade,अचाडे,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00153700,526541,N,,,,
2,526531,Ajang,अजंग,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00152700,526531,N,,,,
3,526588,Ajnale,अजनाळे,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00158700,526588,N,,,,
4,526575,Aklad,अकलाड,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00157400,526575,N,,,,
5,526527,Ambode,आंबोडे,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00152300,526527,N,,,,
6,526533,Amdad,आमदड,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00152900,526533,N,,,,
7,526598,Anakwadi,आनकवाडी,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00159700,526598,N,,,,
8,526540,Anchade Tanda,अंचाडे तांडा,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00153600,526540,N,,,,
9,526516,Arni,आर्णी,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00151200,526516,N,,,,
10,526600,Arvi,आर्वी,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00159900,526600,N,,,,
11,526632,Awadhan,अवधान,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00155900,526632,N,,,,
12,526523,Babhulwadi,बाभूळवाडी,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00151900,526523,N,,,,
13,526614,Babre,बाबरे,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00161300,526614,N,,,,
14,526518,Balapur,बाळापुर,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00151400,526518,N,,,,
15,526590,Balhane,बल्हाणे,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00158900,526590,N,,,,
16,526469,Bamburle.Pr.Ner.,बांबुर्ले प्र.नेर.,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00146500,526469,N,,,,
17,526466,Behed,बेहेड,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00146200,526466,N,,,,
18,526607,Bendrepada,बेंद्रेपाडा,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00160600,526607,N,,,,
19,526570,Bhadane,भदाणे,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00156900,526570,N,,,,
20,526536,Bhirdai,भिरडाई,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00153200,526536,N,,,,
21,526534,Bhirdane,भिरडाणे,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00153000,526534,N,,,,
22,526551,Bhokar,भोकर,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00154700,526551,N,,,,
23,526501,Biladi,बिलाडी,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00149700,526501,N,,,,
24,526613,Bodgaon,बोदगाव,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00161200,526613,N,,,,
25,526468,Boris,बोरीस,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00146400,526468,N,,,,
26,526620,Borkund,बोरकुंड,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00161900,526620,N,,,,
27,526475,Borsule,बोरसुले,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00147100,526475,N,,,,
28,526543,Borvihir,बोरविहीर,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00153900,526543,N,,,,
29,526471,Burzad,बुरझड,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00146700,526471,N,,,,
30,526627,Chande,चांदे,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00162600,526627,N,,,,
31,526579,Chaugaon,चौगाव,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00157800,526579,N,,,,
32,526539,Chinchkhede,चिंचखेडे,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00153500,526539,N,,,,
33,526478,Chinchwar,चिंचवार,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00147400,526478,N,,,,
34,526559,Chitod,चितोड,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00155700,526559,N,,,,
35,526591,Dahyane,दह्याणे,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00159000,526591,N,,,,
36,526484,Dapura,दापुरा,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00148000,526484,N,,,,
37,526485,Dapuri,दापुरी,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00148100,526485,N,,,,
38,526490,Deobhane,देवभाने,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00148600,526490,N,,,,
39,943957,Deopur,देवपूर,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),,000000,N,DILRMP प्रमाणपत्र_1652785591862.pdf,,,
40,526583,Deur Bk.,देऊर बुद्रुक,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00158200,526583,N,,,,
41,526582,Deur Kh.,देऊर खुर्द,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00158100,526582,N,,,,
42,526605,Dhadre,धाडरे,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00160400,526605,N,,,,
43,526497,Dhadri,धाडरी,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00149300,526497,N,dhule_lgd_1658077940912.pdf,,,
44,526494,Dhamane,धमाणे,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00149000,526494,N,,,,
45,526612,Dhamangaon,धामणगाव,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00161100,526612,N,,,,
46,526495,Dhamani,धमाणी,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00149100,526495,N,,,,
47,945120,Dhandane,ढंढाणे,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),,000000,N,dhule_lgd_1657037873542.pdf,,,
48,526487,Dhanur,धनुर,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00148300,526487,N,,,,
49,526496,Dhodi,धोडी,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00149200,526496,N,,,,
50,943958,Dhule,धुळे,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),,000000,N,DILRMP प्रमाणपत्र_1652787771476.pdf,,,
51,526593,Diwanmala,दिवाणमळा,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00159200,526593,N,,,,
52,526619,Dondwad,दोंदवाड,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00161800,526619,N,,,,
53,526519,Fagne,फागणे,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00151500,526519,N,,,,
54,526525,Gadutar,गाडउतार,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00152100,526525,N,,,,
55,526550,Gondur,गोंदूर,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00154600,526550,N,,,,
56,526578,Gotane,गोताणे,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00157700,526578,N,,,,
57,526544,Hadsuni,हडसुणी,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00154000,526544,N,,,,
58,526602,Hendrun,हेंद्रून,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00160100,526602,N,,,,
59,526597,Henkalwadi,हेंकळवाडी,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00159600,526597,N,,,,
60,526505,Henkalwadi-1,हेंकळवाडी-1,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00150100,526505,N,dhule_lgd_1656147859022.pdf,,,
61,526587,Hingane,हिंगणे,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00158600,526587,N,,,,
62,526622,Horpada,होरपाडा,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00162100,526622,N,,,,
63,526610,Isarne,इसरणे,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00160900,526610,N,,,,
64,526502,Japi,जापी,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00149800,526502,N,,,,
65,526592,Junher,जुन्हेर,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00159100,526592,N,dhule_lgd_1658077838592.pdf,,,
66,526609,Junwane,जुनवणे,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00160800,526609,N,,,,
67,526532,Kalkheda,काळखेडा,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00152800,526532,N,LGD Certificate_1381994675532.PDF,,,
68,526491,Kapadne,कापडणे,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00148700,526491,N,,,,
69,526530,Kasvihir,कासविहीर,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00152600,526530,N,,,,
70,526492,Kauthal,कौठळ,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00148800,526492,N,,,,
71,526482,Kawathi,कावठी,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00147800,526482,N,,,,
72,526564,Khandlay Budruk,खंडलाय बुद्रुक,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00156300,526564,N,dhule_lgd_1657530989047.pdf,,,
73,526565,Khandlay Kh.,खंडलाय खुर्द,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00156400,526565,N,ahmednagar_lgd_letter_1658896730631.pdf,,,
74,526554,Khede,खेडे,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00155100,526554,N,,,,
75,526617,Khordad,खोरदड,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00161600,526617,N,,,,
76,526608,Kulthe,कुळथे,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00160700,526608,N,,,,
77,526546,Kundane (Velhane),कुंडाणे (वेल्हाणे),Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00154200,526546,N,,,,
78,526557,Kundane (War),कुंडाणे (वार),Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00155400,526557,N,dhule_lgd_1657531092621.pdf,,,
79,526504,Kundane (Warkhede),कुंडाणे (वरखेडे),Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00150000,526504,N,,,,
80,526577,Kusumbe,कुसुंबे,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00157600,526577,N,,,,
81,526594,Laling,लळिंग,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00159300,526594,N,,,,
82,526465,Lamkani,लामकाणी,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00146100,526465,N,,,,
83,526580,Lohgad,लोहगड,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00157900,526580,N,,,,
84,526581,Lonkhedi,लोणखेडी,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00158000,526581,N,,,,
85,526488,Lonkute,लोणकुटे,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00148400,526488,N,,,,
86,526569,Mahal Kali,महाल काळी,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00156800,526569,N,,,,
87,526567,Mahal Kandamana,महाल कानडामाना,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00156600,526567,N,,,,
88,526573,Mahal Kasad,महाल कसाड,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00157200,526573,N,,,,
89,526572,Mahal Lodha,महाल लोढा,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00157100,526572,N,dhule_lgd_1658078072120.pdf,,,
90,526574,Mahal Mali,महाल मळी,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00157300,526574,N,dhule_lgd_1660802014958.pdf,,,
91,526571,Mahal Pandhari,महाल पांढरी,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00157000,526571,N,,,,
92,526631,Mahindale,महिंदळे,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00155600,526631,N,dhule_lgd_1656148043229.pdf,,,
93,526526,Malane,मळाणे,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00152200,526526,N,,,,
94,526603,Mandal,मांडळ,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00160200,526603,N,,,,
95,526481,Mehergaon,मेहरगाव,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00147700,526481,N,,,,
96,526566,M.Nurnagar,म.नुरनगर,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00156500,526566,N,,,,
97,526601,Moghan,मोघण,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00160000,526601,N,,,,
98,943963,Mohadi.Pra.La,मोहाडी प्र.ल.,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),,000000,N,,,,
99,526506,Mohadi Pr.Dan.,मोहाडी प्र. डां.,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00150200,526506,N,dhule_lgd_1657531828797.pdf,,,
100,526558,Morane Pr. La.,मोराणे प्र.ल.,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00155500,526558,N,dhule_lgd_1657532299623.pdf,,,
101,526576,Morane Pr.Ner,मोराणे प्र. नेर,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00157500,526576,N,,,,
102,526628,Mordad,मोरदड,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00162700,526628,N,,,,
103,526629,Mordad Tanda,मोरदड तांडा,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00162800,526629,N,,,,
104,526595,Morshevadi,मोरशेवडी,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00159400,526595,N,,,,
105,526535,Mukati,मुकटी,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00153100,526535,N,,,,
106,526500,Nagaon Bk.,नगाव बुद्रुक,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00149600,526500,N,,,,
107,526528,Nagaon Kh.,नगाव खुर्द,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00152400,526528,N,,,,
108,526552,Nakane,नकाणे,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00154900,526552,N,,,,
109,526623,Nandale Bk.,नंदाळे बुद्रुक,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00162200,526623,N,,,,
110,526529,Nandale Kh.,नंदाळे खुर्द,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00152500,526529,N,,,,
111,526472,Nandane,नंदाणे,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00146800,526472,N,,,,
112,526584,Nandre,नांद्रे,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00158300,526584,N,,,,
113,526624,Nane,नाणे,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00162300,526624,N,,,,
114,526524,Narvhal,नरव्हाळ,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00152000,526524,N,,,,
115,526476,Navekothare,नवेकोठारे,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00147200,526476,N,dhule_lgd_1657532394566.pdf,,,
116,526480,Navlane,नवलाणे,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00147600,526480,N,LGD Certificate_1381994144952.PDF,,,
117,526514,Nawalnagar,नवलनगर,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00151000,526514,N,,,,
118,526510,Nawra,नावरा,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00150600,526510,N,,,,
119,526511,Nawri,नावरी,Dhule(Sub-District) / Dhule(District) / Maharashtra(State),00150700,526511,N,,,,
